panel	plotted	tool	dataset	arm	min_molecules	pre_registered	cutoff_bp	n	n_matched	atlas_agreement_precision	recall_detected_genes	recall_detected_denominator	recall_full_atlas	recall_full_denominator	F1_detected_genes	null_P_seed1	null_P_seed2	null_P_seed3	null_P_mean	source
a,b	False	polyApipe	pbmc				200	120916	49545	0.409747	0.263734	285136								results/benchmark_tools/pbmc_10k_v3/polyapipe/score_polyapipe.tsv
a,b	True	Sierra	pbmc				10	106170	8869	0.083536	0.028881	285136								results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv
a,b	True	Sierra	pbmc				25	106170	16117	0.151804	0.053511	285136								results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv
a,b	True	Sierra	pbmc				50	106170	22750	0.214279	0.089161	285136								results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv
a,b	True	Sierra	pbmc				100	106170	27164	0.255854	0.135006	285136								results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv
a,b	False	Sierra	pbmc				200	106170	31658	0.298182	0.194732	285136								results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv
a,b	True	scAPAtrap	pbmc				10	787138	18818	0.023907	0.057092	285136								results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv
a,b	True	scAPAtrap	pbmc				25	787138	32147	0.040840	0.099293	285136								results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv
a,b	True	scAPAtrap	pbmc				50	787138	49005	0.062257	0.170575	285136								results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv
a,b	True	scAPAtrap	pbmc				100	787138	78650	0.099919	0.300376	285136								results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv
a,b	False	scAPAtrap	pbmc				200	787138	111704	0.141912	0.450999	285136								results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv
a,b	False	PeakATail v2 default	mouse1				10	26255	15219	0.579661	0.107107	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 default	mouse1				25	26255	17907	0.682042	0.126557	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 default	mouse1				50	26255	18706	0.712474	0.160902	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 default	mouse1				100	26255	19560	0.745001	0.204790	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 default	mouse1				200	26255	20390	0.776614	0.251267	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 default	mouse2				10	26526	15769	0.594473	0.110438	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 default	mouse2				25	26526	18382	0.692980	0.129446	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 default	mouse2				50	26526	19205	0.724007	0.164383	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 default	mouse2				100	26526	20086	0.757219	0.208002	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 default	mouse2				200	26526	20951	0.789829	0.254045	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__PRESPEC_precision_default.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse1				10	52792	21668	0.410441	0.148627	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__tier1.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse1				25	52792	25875	0.490131	0.179065	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__tier1.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse1				50	52792	27741	0.525477	0.224831	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__tier1.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse1				100	52792	30020	0.568647	0.280639	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__tier1.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse1				200	52792	32402	0.613767	0.337125	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__tier1.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse2				10	51842	22250	0.429189	0.151943	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__tier1.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse2				25	51842	26333	0.507947	0.181678	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__tier1.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse2				50	51842	28198	0.543922	0.227318	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__tier1.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse2				100	51842	30483	0.587998	0.282628	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__tier1.tsv
a,b	False	PeakATail v2 tier-1 ≥1 mol	mouse2				200	51842	32791	0.632518	0.339225	126686								results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__tier1.tsv
a,b	False	scUTRquant*	mouse1				10	35732	21364	0.597895	0.118616	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse1.tsv
a,b	False	scUTRquant*	mouse1				25	35732	25842	0.723217	0.142486	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse1.tsv
a,b	False	scUTRquant*	mouse1				50	35732	27040	0.756745	0.188576	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse1.tsv
a,b	False	scUTRquant*	mouse1				100	35732	27959	0.782464	0.258632	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse1.tsv
a,b	False	scUTRquant*	mouse1				200	35732	29063	0.813361	0.343156	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse1.tsv
a,b	False	scUTRquant*	mouse2				10	35845	21448	0.598354	0.118608	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv
a,b	False	scUTRquant*	mouse2				25	35845	25955	0.724090	0.142431	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv
a,b	False	scUTRquant*	mouse2				50	35845	27166	0.757874	0.188592	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv
a,b	False	scUTRquant*	mouse2				100	35845	28092	0.783708	0.258884	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv
a,b	False	scUTRquant*	mouse2				200	35845	29195	0.814479	0.343669	126686								results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv
a,b	False	SCAPTURE	mouse1				10	23645	8605	0.363925	0.047456	126686								results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv
a,b	False	SCAPTURE	mouse1				25	23645	13200	0.558258	0.074349	126686								results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv
a,b	False	SCAPTURE	mouse1				50	23645	15773	0.667075	0.112956	126686								results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv
a,b	False	SCAPTURE	mouse1				100	23645	16399	0.693550	0.155092	126686								results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv
a,b	False	SCAPTURE	mouse1				200	23645	16754	0.708564	0.201743	126686								results/benchmark_tools/gse104556/scapture/mouse1/score_scapture_mouse1.tsv
a,b	False	polyApipe	mouse1				10	89527	28643	0.319937	0.126186	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse1.tsv
a,b	False	polyApipe	mouse1				25	89527	32854	0.366973	0.147364	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse1.tsv
a,b	False	polyApipe	mouse1				50	89527	34469	0.385012	0.189666	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse1.tsv
a,b	False	polyApipe	mouse1				100	89527	35857	0.400516	0.249878	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse1.tsv
a,b	False	polyApipe	mouse1				200	89527	37616	0.420164	0.322695	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse1.tsv
a,b	False	polyApipe	mouse2				10	87983	29267	0.332644	0.128088	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv
a,b	False	polyApipe	mouse2				25	87983	33440	0.380073	0.149006	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv
a,b	False	polyApipe	mouse2				50	87983	34876	0.396395	0.191221	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv
a,b	False	polyApipe	mouse2				100	87983	36244	0.411943	0.250762	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv
a,b	False	polyApipe	mouse2				200	87983	37886	0.430606	0.323398	126686								results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv
a,b	False	Sierra	mouse1				10	22550	4779	0.211929	0.027383	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse1.tsv
a,b	False	Sierra	mouse1				25	22550	6532	0.289667	0.037502	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse1.tsv
a,b	False	Sierra	mouse1				50	22550	8010	0.355211	0.058381	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse1.tsv
a,b	False	Sierra	mouse1				100	22550	11472	0.508736	0.107052	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse1.tsv
a,b	False	Sierra	mouse1				200	22550	13777	0.610953	0.170658	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse1.tsv
a,b	False	Sierra	mouse2				10	21335	4823	0.226060	0.027304	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv
a,b	False	Sierra	mouse2				25	21335	6678	0.313007	0.038260	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv
a,b	False	Sierra	mouse2				50	21335	8459	0.396485	0.062091	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv
a,b	False	Sierra	mouse2				100	21335	12397	0.581064	0.117298	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv
a,b	False	Sierra	mouse2				200	21335	13907	0.651840	0.175150	126686								results/benchmark_tools/gse104556/sierra/score_sierra_mouse2.tsv
a,b	False	scAPAtrap	mouse1				10	135538	14695	0.108420	0.071010	126686								results/benchmark_tools/gse104556/scapatrap/mouse1/score_scapatrap_mouse1.tsv
a,b	False	scAPAtrap	mouse1				25	135538	21335	0.157410	0.105750	126686								results/benchmark_tools/gse104556/scapatrap/mouse1/score_scapatrap_mouse1.tsv
a,b	False	scAPAtrap	mouse1				50	135538	27250	0.201051	0.162978	126686								results/benchmark_tools/gse104556/scapatrap/mouse1/score_scapatrap_mouse1.tsv
a,b	False	scAPAtrap	mouse1				100	135538	33918	0.250247	0.245315	126686								results/benchmark_tools/gse104556/scapatrap/mouse1/score_scapatrap_mouse1.tsv
a,b	False	scAPAtrap	mouse1				200	135538	39016	0.287860	0.335183	126686								results/benchmark_tools/gse104556/scapatrap/mouse1/score_scapatrap_mouse1.tsv
a,b	False	scAPAtrap	mouse2				10	151140	15208	0.100622	0.072984	126686								results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv
a,b	False	scAPAtrap	mouse2				25	151140	22253	0.147234	0.111007	126686								results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv
a,b	False	scAPAtrap	mouse2				50	151140	28700	0.189890	0.171566	126686								results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv
a,b	False	scAPAtrap	mouse2				100	151140	36109	0.238911	0.258576	126686								results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv
a,b	False	scAPAtrap	mouse2				200	151140	41335	0.273488	0.350560	126686								results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv
