mouse	pas_subset	depth	labels	n_cells	n_pas	n_genes	stages	wdi_rho	wdi_p	wdi_mean_Spermatocyte	wdi_sd_Spermatocyte	wdi_mean_RoundSpermatid	wdi_sd_RoundSpermatid	wdi_mean_Elongating	wdi_sd_Elongating	wdi_delta_last_minus_first	wdi_cliffs	wdi_cohens_d	wdi_monotone_down	wul_rho	wul_p	wul_mean_Spermatocyte	wul_sd_Spermatocyte	wul_mean_RoundSpermatid	wul_sd_RoundSpermatid	wul_mean_Elongating	wul_sd_Elongating	wul_delta_last_minus_first	wul_cliffs	wul_cohens_d	wul_monotone_down	wdi_partial_rho_depthadj	wdi_partial_p_depthadj	wdi_null_rho_absmax	wdi_mean_Spermatogonia	wdi_sd_Spermatogonia	wul_mean_Spermatogonia	wul_sd_Spermatogonia
mouse2	atlas	raw	PASlabels	1364	6365	2674	Spermatocyte,RoundSpermatid,Elongating	-0.5016581684249126	7.842434692220774e-88	0.6187484031394268	0.0236478406137406	0.6022404649858663	0.028921523770606	0.5716871931287794	0.0223042035282643	-0.0470612100106474	-0.863002078296645	-2.039975723380925	True	0.5220681537424842	3.177211451188533e-96	21977.24465519477	3525.2830150474188	27671.5797422952	4444.395692122123	29134.38757807126	7080.0797227197145	7157.142922876483	0.7044153200152692	1.330766580704876	False	-0.5276115106439226	1.8376779310028587e-98	0.0757994063739872				
mouse2	atlas	raw	GEXlabels	1364	6365	2674	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	-0.4791558914474399	3.241255462007367e-79	0.6206037354009168	0.0219166990953327	0.602855439947154	0.0292702239730917	0.5717542994201742	0.0223246762038151	-0.0354815207942611	-0.707727371391361	-1.5424358336582522	False	0.516604669996533	6.379825665568234e-94	22041.03754348785	3179.6925508015283	27635.300260009677	4532.108827472816	29084.9216696084	7026.138298281905	7762.966511827952	0.7078359018884306	1.1876312906853626	False	-0.4977635542239141	3.598435025497622e-86	0.0832710957496315	0.6072358202144355	0.0255572614067509	21321.95515778045	3995.6549542974303
mouse2	atlas	matched	PASlabels	684	6365	2674	Spermatocyte,RoundSpermatid	-0.476119506395892	5.415778176389545e-40	0.6312459595225227	0.0154371553727999	0.6056340899440994	0.0266157314591548			-0.0256118695784233	-0.5844185956641033	-1.088823953385646	True	0.6522676673616405	3.9773851761691793e-84	22075.56236169005	3049.8178115665623	27785.542601452948	2977.8907582464426			5709.980239762896	0.8006337674382655	1.9021785493133925	False	-0.2761025796385081	2.1298220018057094e-13	0.0980227523086431				
mouse2	atlas	matched	GEXlabels	667	6365	2674	Spermatocyte,RoundSpermatid	-0.4863820412861084	6.645888622451634e-41	0.6325478860450003	0.0143735265362416	0.6058758864775681	0.0266600481576728			-0.0266719995674322	-0.6077964745277258	-1.13181623742123	True	0.625471126065535	1.0656605373096368e-73	22254.8041801618	3006.2345556343307	27730.552516509222	3041.2480465947992			5475.748336347424	0.7816060484805087	1.806880967026055	False	-0.2856603797639487	5.927648447401748e-14	0.1126633383921564				
mouse2	noatlas	raw	PASlabels	1364	11135	3048	Spermatocyte,RoundSpermatid,Elongating	0.7009755311100593	3.551441231396508e-202	0.5652553742946909	0.0624575481759858	0.6440995331734857	0.0339445897328919	0.6900243700803502	0.0325635848955115	0.1247689957856593	0.92038851422997	2.4201164896736223	False	0.2507159256733331	5.373964628697956e-21	36355.37810192404	12143.70836922294	31600.346223414614	4243.276720704876	42644.722500099895	7914.799658570353	6289.344398175854	0.5874793230690927	0.5987140946938985	False	0.6048711895305873	1.0827141851589326e-136	0.1011235446498038				
mouse2	noatlas	raw	GEXlabels	1364	11135	3048	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.7107853396000234	2.3982695631572663e-210	0.5775713371939785	0.0589488800660495	0.6438069177450291	0.0344092650067725	0.6898065708674237	0.0330569519413563	0.182878762712584	0.9991317560234424	5.465810006867613	False	0.2422924154230596	1.1285281027746964e-19	35605.97630946236	10169.161537415624	31765.1059833822	4984.265061928238	42552.99410560678	7943.327104078345	3873.5671870060105	0.4513783373127848	0.3759471561439543	False	0.6217385823006021	1.68479458588361e-146	0.0857126552336024	0.5069278081548396	0.035030902685508	38679.42691860076	16724.506751203287
mouse2	noatlas	matched	PASlabels	588	11135	3048	Spermatocyte,RoundSpermatid	0.7465891915683276	8.448881719511947e-106	0.5687477523738688	0.0455951775521527	0.6463010891726443	0.0189442910278352			0.0775533367987753	0.9255604304746156	2.5781944177790823	False	-0.4739639272342349	2.9090119209239484e-34	35592.71566637459	10175.788652169758	30876.52849439626	2788.484340116025			-4716.18717197833	-0.5875818475202368	-0.7633213967446724	True	0.7394967526756743	1.862663888974972e-102	0.117046855319573				
mouse2	noatlas	matched	GEXlabels	571	11135	3048	Spermatocyte,RoundSpermatid	0.7350166468251172	4.4139523437650317e-98	0.5740193078972937	0.040841054196104	0.6463356317820621	0.018907556938964			0.0723163238847683	0.9296417321675644	2.650486390469736	False	-0.4768914809461929	9.167788528378297e-34	35827.04968249858	10614.17025745548	30875.788943368483	2786.432598241065			-4951.260739130103	-0.603167593982749	-0.7955397877267303	True	0.7143399166461579	5.89052866178574e-90	0.1145619536930626				
mouse2	utr3	raw	PASlabels	1364	5060	2169	Spermatocyte,RoundSpermatid,Elongating	-0.7414145673611928	3.178277522949213e-238	0.5592009092694001	0.0328848316354059	0.4960347675500034	0.0341458782864337	0.4583246768832421	0.0243016461707455	-0.100876232386158	-0.993849938499385	-3.426689486587391	True	-0.3659290749282794	1.7855731610192754e-44	8159.245380625557	1152.2228128766158	8186.822056868804	912.9901422011394	6797.021206420384	1048.3528124653956	-1362.224174205172	-0.6556601772914281	-1.2294796418163914	False	-0.7842700085781679	3.1101050586719177e-284	0.0814162994588184				
mouse2	utr3	raw	GEXlabels	1364	5060	2169	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	-0.7336970866965309	7.775791706475127e-231	0.5521406277674963	0.0243520784989133	0.4977543127859414	0.0377529864291272	0.4582421946351432	0.0243758656303852	-0.1211176277044443	-0.9877360538311264	-4.585279817656763	True	-0.3649722102533875	3.1019042782087084e-44	8402.85624462904	867.3865010571875	8166.877793934772	938.5863286202152	6793.498636914748	1046.2025964396628	-636.8319159054636	-0.3077924896896028	-0.5471081782653322	False	-0.7740278504660932	3.1373236544150086e-272	0.0755595721135595	0.5793598223395876	0.0333912312963073	7430.330552820213	1550.4997425300703
mouse2	utr3	matched	PASlabels	309	5060	2169	Spermatocyte,RoundSpermatid	-0.8264218726595514	1.4401790246426168e-78	0.5588423777323523	0.0208800268072444	0.4851617675298644	0.0301314778699381			-0.0736806102024879	-0.9584953508030432	-2.796413136256485	True	-0.3186450681072016	1.0127582195688737e-08	8766.992758948621	734.5732706605332	8306.454545918721	611.8515330110162			-460.5382130299004	-0.3695688926458157	-0.6871594018427436	True	-0.7393687886435913	2.4726760889057084e-54	0.155241078469428				
mouse2	utr3	matched	GEXlabels	305	5060	2169	Spermatocyte,RoundSpermatid	-0.824536375670694	6.352364109930469e-77	0.5584441142519085	0.0206994319217309	0.4851617675298644	0.0301314778699381			-0.0732823467220441	-0.9577097111033762	-2.781170185787993	True	-0.3478395777066176	4.212815670391309e-10	8807.514617442635	703.5636117008777	8306.454545918721	611.8515330110162			-501.0600715239125	-0.4040201879568396	-0.7657919832412621	True	-0.7168880866379418	4.506810740952775e-49	0.1863934674421849				
