gene_id	symbol	m1_delta	m2_delta	m1_mono_short	m2_mono_short	category
ENSMUSG00000035206	Sppl2b	-0.0145784688545061	-0.070987393180472	True	True	shorten in both
ENSMUSG00000020576	Nbas	0.0023798191337458	-0.0877481058969261	False	False	discordant
ENSMUSG00000094811	Gm21103	-0.0104895104895104	-0.0724941724941724	False	False	shorten in both
ENSMUSG00000060176	Kif27	-0.0333173919974494	-0.0489557761411748	True	True	shorten in both
ENSMUSG00000047518	Slfnl1	-0.1526932562789136	0.0709586738538224	True	False	discordant
ENSMUSG00000044056	Efcab9	-0.002637987012987	-0.0781976744186045	False	False	shorten in both
ENSMUSG00000068856	Sf3b4	-0.003006012024048	-0.0761221368615734	True	False	shorten in both
ENSMUSG00000053508	Gtsf2	-0.0233042353701907	-0.0555396609684571	False	False	shorten in both
ENSMUSG00000090777	Ccdc188	-0.079467680608365	0.0008873114463176	True	False	discordant
ENSMUSG00000038398	Upf3a	-0.0740103013910786	-0.0035351605893605	True	True	shorten in both
ENSMUSG00000022565	Plec	-0.0213675213675212	-0.0559164733178654	False	False	shorten in both
ENSMUSG00000027867	Spag17	-0.0235562310030395	-0.0536996904024767	True	True	shorten in both
ENSMUSG00000030034	Ino80b	-0.0030522976350702	-0.0715055809233891	False	True	shorten in both
ENSMUSG00000008763	Man1a2	-0.0358378303583783	-0.0383193277310924	True	False	shorten in both
ENSMUSG00000033916	Chmp2a	-0.0693424222835987	-0.0041813298414518	True	False	shorten in both
ENSMUSG00000021661	Ankra2	0.0041933792992217	-0.0773940164029109	False	False	discordant
ENSMUSG00000053624	Gykl1	-0.0556441594870767	-0.016882267601609	False	False	shorten in both
ENSMUSG00000002017	Fam98a	-0.0755449697095221	0.0039177277179236	False	False	discordant
ENSMUSG00000029203	Ube2k	-0.0108303249097472	-0.0606060606060606	False	True	shorten in both
ENSMUSG00000029790	Cep41	-0.0212947974509763	-0.0489795918367346	False	True	shorten in both
ENSMUSG00000025228	Actr1a	-0.057256327524412	-0.0126582278481012	True	True	shorten in both
ENSMUSG00000041769	Ppp2r2d	-0.066027077229467	-0.0025773195876288	True	False	shorten in both
ENSMUSG00000050645	Defb19	0.0018678561471981	-0.0701754385964912	False	True	discordant
ENSMUSG00000013822	Elof1	-0.0016611295681062	-0.0661478599221789	True	True	shorten in both
ENSMUSG00000003380	Rabac1	-0.0497831624545912	-0.0161534007073288	True	True	shorten in both
ENSMUSG00000114852	Gm47189	-0.0721649484536082	0.0063694267515923	True	False	discordant
ENSMUSG00000051728	Fam243	-0.0718210664809225	0.006238800026548	True	False	discordant
ENSMUSG00000069805	Fbp1	-0.0712471016989738	0.0058164691785381	True	False	discordant
ENSMUSG00000024369	Nelfe	-0.0057306590257879	-0.0593406593406593	False	True	shorten in both
ENSMUSG00000095226	Gm10377	-0.0714285714285714	0.0063694267515923	True	False	discordant
ENSMUSG00000092519	Actl9	-0.0007027406886858	-0.0641025641025641	False	False	shorten in both
ENSMUSG00000005881	Ergic3	-0.036030735151599	-0.028169014084507	True	True	shorten in both
ENSMUSG00000035765	Dym	-0.0703873646096699	0.0067226890756302	True	False	discordant
ENSMUSG00000063129	Aldoart2	-0.0319012888032225	-0.0309285817760394	False	False	shorten in both
ENSMUSG00000039067	Psmd7	-0.0013363028953229	-0.0602917642079647	False	False	shorten in both
ENSMUSG00000048400	Prss54	-0.0121862049136443	-0.0486758297016426	True	True	shorten in both
ENSMUSG00000040236	Trappc5	-0.0403530895334174	-0.0199211045364891	True	False	shorten in both
ENSMUSG00000041278	Ttc1	-0.0384323496769156	-0.0214713488498706	False	False	shorten in both
ENSMUSG00000061315	Naca	-0.0547595035997423	-0.0049405080489109	True	False	shorten in both
ENSMUSG00000002580	Mien1	-0.0244927418919648	-0.0351951268285929	True	True	shorten in both
ENSMUSG00000063524	Eno1	-0.0463301712694661	-0.0128196495008501	False	True	shorten in both
ENSMUSG00000010136	Pifo	-0.0082644628099173	-0.0501231727439633	False	True	shorten in both
ENSMUSG00000066878	Gm10184	-0.0069155064020275	-0.0505341446923597	False	False	shorten in both
ENSMUSG00000067847	Romo1	-0.0070793650793651	-0.0479905437352246	False	False	shorten in both
ENSMUSG00000113262	Gm48551	-0.0227272727272727	-0.0318181818181818	False	True	shorten in both
ENSMUSG00000074127	Cmtm2a	-0.0048660546092681	-0.0493579148401484	False	False	shorten in both
ENSMUSG00000058935	Tex48	-0.1249423933028948	0.0711111111111111	False	False	discordant
ENSMUSG00000049792	Bag5	0.0273787666054649	-0.0809523809523809	False	True	discordant
ENSMUSG00000052794	1700030K09Rik	-0.0130624092888244	-0.0401090342679127	True	True	shorten in both
ENSMUSG00000071726	Gm5941	-0.0481617776836457	-0.0047287207565952	False	False	shorten in both
ENSMUSG00000053375	Atp6v1e2	-0.050939790221366	-0.0017094017094017	False	True	shorten in both
ENSMUSG00000060279	Ap2a1	-0.0444928940568475	-0.0076923076923076	True	False	shorten in both
ENSMUSG00000040829	Zmynd15	-0.0145914283380591	-0.0375832270859895	False	True	shorten in both
ENSMUSG00000050996	Cetn1	-0.0287868387580307	-0.0233812949640287	False	True	shorten in both
ENSMUSG00000073702	Rpl31	-0.0182704019488428	-0.0326188257222739	True	True	shorten in both
ENSMUSG00000033938	Ndufb7	-0.0424491561501996	-0.0082469013419425	True	False	shorten in both
ENSMUSG00000040340	Tex45	-0.0357759192884641	-0.0137464874306979	True	True	shorten in both
ENSMUSG00000052031	Tagap1	0.0	-0.0494205862304021	False	False	delta 0 in one mouse
ENSMUSG00000030292	Smco2	-0.0659358794699065	0.0168672676928239	True	False	discordant
ENSMUSG00000031876	Gm45711	-0.0244444444444444	-0.024545358982445	False	False	shorten in both
ENSMUSG00000041629	Fam104a	-0.0380321696337153	-0.0106557001116021	True	False	shorten in both
ENSMUSG00000092518	Fam71e2	-0.0159428994507528	-0.0321517554575508	True	True	shorten in both
ENSMUSG00000042726	Trafd1	-0.0013413006416457	-0.0461551866858362	False	False	shorten in both
