panel	pair	pair_label	n_patients_tested	n_gsm_tested	n_features	replicated_K2	replicated_K2_floor	replicated_K3	replicated_K3_floor	empirical_p_q	multi_patient	plotted_panel_b	source
b	Endothelial_vs_Macrophage	Endothelial – Macrophage	3	3	39723	72	72	24	24	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Endothelial_vs_Mast	Endothelial – Mast	2	2	32728	18	18	0	0	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Endothelial_vs_Plasma_IG	Endothelial – Plasma IG	2	2	33231	9	9	0	0	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Endothelial_vs_T_cell	Endothelial – T cell	3	3	39098	74	74	3	3	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Endothelial_vs_Treg	Endothelial – Treg	1	1	26352	0	0	0	0	1.0	False	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_Tumor_vs_Fibroblast	Epithelial Tumor – Fibroblast	5	5	44406	245	240	49	49	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_Tumor_vs_Macrophage	Epithelial Tumor – Macrophage	7	7	47517	1077	1002	366	345	0.0909090909090909	True	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_Tumor_vs_Mast	Epithelial Tumor – Mast	3	3	39921	184	184	26	26	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_Tumor_vs_Monocyte	Epithelial Tumor – Monocyte	1	1	26096	0	0	0	0	1.0	False	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_Tumor_vs_NK	Epithelial Tumor – NK	1	1	22840	0	0	0	0	1.0	False	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_Tumor_vs_Plasma_IG	Epithelial Tumor – Plasma IG	9	9	47895	493	492	196	196	0.0909090909090909	True	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_Tumor_vs_T_cell	Epithelial Tumor – T cell	9	9	49133	3031	2899	1533	1460	0.0909090909090909	True	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_Tumor_vs_Treg	Epithelial Tumor – Treg	4	4	40415	96	96	29	29	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_vs_Macrophage	Epithelial – Macrophage	4	4	42049	468	447	112	106	0.0909090909090909	True	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Epithelial_vs_Mast	Epithelial – Mast	2	2	31012	1	1	0	0	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
