set	truth	shift	n	median_d	modal_10bp_bin_lo	frac_within_10	frac_within_25	bin_lo	bin_width_bp	pct_of_calls	source	panel
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	-20	20	2.560000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	0	20	5.200000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	20	20	1.760000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	40	20	1.060000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	60	20	0.620000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	80	20	0.530000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	100	20	0.350000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	120	20	0.530000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	140	20	0.180000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	160	20	0.260000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	180	20	0.000000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	200	20	0.090000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	220	20	0.090000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	240	20	0.090000	results/paramsweep/leadB/dist_m1_tier2.txt	f
m1_tier2	atlas	87	1135	13	10	0.037000	0.084600	260	20	0.260000	results/paramsweep/leadB/dist_m1_tier2.txt	f
