panel	dataset	tool	N	atlas_agreement_precision_100bp	recall_detected_genes_100bp	F1_detected_genes_100bp	plotted	source	is_native_budget
d	gse104556	PeakATail	52792	0.568600	0.280600	0.375800	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	PeakATail	71983	0.448800	0.303400	0.362000	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	polyApipe	22550	0.738800	0.133900	0.226700	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	polyApipe	23645	0.726000	0.137400	0.231100	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	polyApipe	26255	0.695000	0.144300	0.239000	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	polyApipe	35732	0.613200	0.167700	0.263300	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	polyApipe	52792	0.496400	0.192500	0.277500	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	polyApipe	71983	0.435300	0.223100	0.295000	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	polyApipe	89527	0.400500	0.249900	0.307800	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	True
d	gse104556	scAPAtrap	22550	0.485100	0.096500	0.161000	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scAPAtrap	23645	0.479300	0.099300	0.164500	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scAPAtrap	26255	0.468700	0.106000	0.172900	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scAPAtrap	35732	0.430500	0.127000	0.196200	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scAPAtrap	52792	0.380200	0.157500	0.222800	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scAPAtrap	71983	0.337200	0.184300	0.238300	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scAPAtrap	89527	0.306900	0.204400	0.245400	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scAPAtrap	135538	0.250200	0.245300	0.247800	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	True
d	gse104556	SCAPTURE	22550	0.697000	0.149600	0.246300	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	SCAPTURE	23645	0.693500	0.155100	0.253500	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	True
d	gse104556	Sierra	22550	0.508700	0.107100	0.176900	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	True
d	gse104556	scUTRquant	22550	0.835200	0.204300	0.328300	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scUTRquant	23645	0.832100	0.210900	0.336400	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scUTRquant	26255	0.822800	0.224500	0.352700	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	False
d	gse104556	scUTRquant	35732	0.782500	0.258600	0.388800	True	results/perf_gap/D3_head_to_head/tsv/01e_matched_n_headline_mouse1.tsv	True
