branch	dataset_id	max_gene_distance	utr_multiplier	include_extended	method	resolution	n_neighbors	min_read	min_cells	min_pas_per_cell	final_cells	final_pas	input_pas	annotated_pas	n_clusters	pas_retention
A2_trim_d2000_ext	GSM3516666-Normal	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3001	24591	96373	74478	17	0.255165
A2_trim_d2000_ext	GSM3516662-StageIA	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3421	38128	123141	91655	16	0.309629
A2_trim_d2000_ext	GSM3516665-StageIVprimary	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3659	35628	115386	89348	16	0.308772
A2_trim_d2000_ext	GSM3516670-StageIB	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1046	26206	102294	76843	13	0.256183
A2_trim_d2000_ext	GSM3516667-StageIA	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4170	20135	91160	65393	13	0.220875
A2_trim_d2000_ext	GSM3516671-MetBrain	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1277	33254	113139	86669	13	0.293922
A2_trim_d2000_ext	GSM3516663-StageIA	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4657	31905	113082	82328	14	0.282140
A2_trim_d2000_ext	GSM3516675-Normal	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	2661	27346	106586	75554	15	0.256563
A2_trim_d2000_ext	GSM3516673-Normal	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3979	25790	100293	76053	17	0.257147
A2_trim_d2000_ext	GSM3516676-Normal	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3315	32927	115076	83604	16	0.286133
A2_trim_d2000_ext	GSM3516677-MetAdrenal	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	2957	26790	104504	74560	13	0.256354
A2_trim_d2000_ext	GSM3516672-StageIB	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4252	40309	126877	92956	17	0.317701
A2_trim_d2000_ext	GSM3516678-MetBrain	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3244	15956	82043	57500	15	0.194483
A2_trim_d2000_ext	GSM3516674-StageIA	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4932	38346	123215	91902	17	0.311212
A2_trim_d3000_ext	GSM3516669-StageIIA	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3505	22518	94320	73519	18	0.238740
A2_trim_d3000_ext	GSM3516664-MetBone	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1352	13419	71051	55016	9	0.188864
A2_trim_d3000_ext	GSM3516668-MetBrain	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4245	17737	93012	67566	14	0.190696
A2_trim_d3000_ext	GSM3516666-Normal	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3001	24724	96373	74903	17	0.256545
A2_trim_d3000_ext	GSM3516662-StageIA	3000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3421	38426	123141	92348	16	0.312049
