arm	run	seed	n_tests	n_pairs_tested	n_q_lt_fdr	n_pair_families_with_hit	frac_p_lt_05	frac_q_lt_fdr	min_pvalue	median_pvalue	hits_ES_vs_RS	hits_ES_vs_SPC	hits_RS_vs_SPC
B0_fisher_cells_nomarker	perm_19	19	214071	3	0	0	0.03180720415189353	0.0	2.713002553607873e-05	0.6010396964889437	0	0	0
B0_fisher_cells_nomarker	perm_20	20	214048	3	0	0	0.02981574226341755	0.0	1.5756080950333984e-05	0.6027420304029891	0	0	0
C0_nb_pairwise_nomarker	true		58465	3	43127	3	0.7533909176430343	0.7376550072693064	0.0	2.2570974366354475e-06	12139	11408	19580
C0_nb_pairwise_nomarker	perm_01	1	104960	3	152	3	0.05284870426829268	0.001448170731707317	4.949301919285533e-86	0.49999263486141643	46	35	71
C0_nb_pairwise_nomarker	perm_02	2	104757	3	119	3	0.04759586471548441	0.0011359622745974016	1.577981843819626e-92	0.5146643344558484	41	32	46
C0_nb_pairwise_nomarker	perm_03	3	104435	3	146	3	0.04755110834490353	0.001397998755206588	4.0188471329319176e-57	0.5215232890428807	48	48	50
C0_nb_pairwise_nomarker	perm_04	4	104648	3	126	3	0.04770277501720052	0.0012040363886553016	3.409571147523989e-86	0.5114022314269493	29	37	60
C0_nb_pairwise_nomarker	perm_05	5	105214	3	177	3	0.062434656984811904	0.0016822856273879902	9.433361009083452e-70	0.479820411963236	85	41	51
C0_nb_pairwise_nomarker	perm_06	6	104786	3	153	3	0.05043612696352566	0.0014601187181493712	1.0853808392326111e-99	0.5089637023103838	59	51	43
C0_nb_pairwise_nomarker	perm_07	7	104006	3	151	3	0.04986250793223468	0.0014518393169624829	2.1158775295478068e-72	0.5100768097938838	41	49	61
C0_nb_pairwise_nomarker	perm_08	8	103992	3	164	3	0.06760135395030387	0.0015770443880298484	1.740237880483551e-86	0.46611915030198103	51	59	54
C0_nb_pairwise_nomarker	perm_09	9	104618	3	142	3	0.04534592517540003	0.0013573190082012655	1.0425649838822032e-76	0.5183249195680539	52	38	52
C0_nb_pairwise_nomarker	perm_10	10	104756	3	135	3	0.049553247546679904	0.001288708999961816	4.409749193130196e-182	0.5081791611290404	51	47	37
C0_nb_pairwise_nomarker	perm_11	11	104977	3	134	3	0.04814387913542967	0.0012764700839231452	2.439239273380661e-61	0.5131811996957214	51	40	43
C0_nb_pairwise_nomarker	perm_12	12	105205	3	134	3	0.05196521077895537	0.0012737037213060216	4.274547550805872e-59	0.4970342097699862	49	50	35
C0_nb_pairwise_nomarker	perm_13	13	104290	3	119	3	0.042899606865471285	0.001141048997986384	4.867017067904631e-124	0.5287736726771589	51	19	49
C0_nb_pairwise_nomarker	perm_14	14	104387	3	121	3	0.045206778621859046	0.0011591481697912575	9.287750207230224e-58	0.5238523271461903	32	30	59
C0_nb_pairwise_nomarker	perm_15	15	104138	3	135	3	0.060535059248305136	0.0012963567573796308	1.3806575105340224e-71	0.48190543887383824	65	26	44
C0_nb_pairwise_nomarker	perm_16	16	104551	3	129	3	0.046302761331790225	0.00123384759591013	1.2880214127356882e-86	0.5187269212022656	50	43	36
C0_nb_pairwise_nomarker	perm_17	17	104742	3	148	3	0.04819461152164366	0.0014129957419182371	5.0362054919273816e-55	0.5124746798871309	60	28	60
C0_nb_pairwise_nomarker	perm_18	18	104284	3	134	3	0.044733612059376315	0.0012849526293582908	1.6735900910487526e-58	0.5228096196587849	35	40	59
C0_nb_pairwise_nomarker	perm_19	19	104344	3	132	3	0.055709959365176726	0.001265046385034118	2.6541744927357353e-41	0.48947066147892837	55	36	41
C0_nb_pairwise_nomarker	perm_20	20	104151	3	131	3	0.053902506937043335	0.0012577891714913923	3.812355247464482e-62	0.496573670808325	60	31	40
