symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Cdan1	-0.379718875502008	-0.4190168970814132	True	True	3	3	0.429718875502008	0.4247311827956989	0.0537848605577689	0.0479744136460554	0.05	0.0057142857142857	-0.3993678862917106
Cgrrf1	-0.4139252948885976	-0.3769114928710849	True	True	2	2	0.8532110091743119	0.8675656984785616	0.8326232501521607	0.8252992559042381	0.4392857142857143	0.4906542056074766	-0.3954183938798413
Ubald1	-0.3972700194879972	-0.3858481112866359	True	True	2	2	0.9935141509433962	0.9972470750172058	0.9775725593667546	0.9713656387665198	0.596244131455399	0.6113989637305699	-0.3915590653873165
Abhd2	-0.4286356658862202	-0.3471621674262787	True	True	2	2	0.4380165289256198	0.3488372093023256	0.0179514255543822	0.0194085027726432	0.0093808630393996	0.0016750418760469	-0.3878989166562494
Cep85l	-0.4571428571428571	-0.3125	True	True	2	2	0.4571428571428571	0.3125	0.0372549019607843	0.021639344262295	0.0	0.0	-0.3848214285714285
Ctnna3	-0.3535735023099643	-0.412121212121212	True	True	5	4	0.7622377622377622	0.6026936026936026	0.5713414634146341	0.3066507367582636	0.4086642599277978	0.1905723905723905	-0.3828473572155882
Gnal	-0.3600197587980867	-0.3935252564694189	True	True	2	2	0.365296803652968	0.3986013986013986	0.0637813211845102	0.057471264367816	0.0052770448548812	0.0050761421319796	-0.3767725076337528
Tmem8	-0.2715272090910111	-0.4799652511288674	False	True	3	3	0.6349292709466812	0.7559833506763788	0.7504091653027823	0.7044907778668805	0.3634020618556701	0.2760180995475113	-0.3757462301099392
Sertad2	-0.225023995103086	-0.5227673056496216	True	True	3	2	0.905652267354395	0.7694633408919124	0.8365929705215419	0.570391061452514	0.680628272251309	0.2466960352422907	-0.3738956503763538
Ddx10	-0.2307924984875983	-0.509090909090909	False	True	2	2	0.8448275862068966	0.8727272727272727	0.9353932584269664	0.7086330935251799	0.6140350877192983	0.3636363636363636	-0.3699417037892537
Dnajc18	-0.3785697565543071	-0.3588141025641025	True	True	2	2	0.4010416666666667	0.3692307692307692	0.0688524590163934	0.0913107511045655	0.0224719101123595	0.0104166666666666	-0.3686919295592048
Med10	-0.5433729277901094	-0.1921181937900112	True	True	3	2	0.9883966244725738	0.9989067055393586	0.8172727272727273	0.9658148586901336	0.4450236966824644	0.8067885117493473	-0.3677455607900603
Ide	-0.2451857916041296	-0.4861744154465322	False	True	4	5	0.7928048392231772	0.7881546134663342	0.4389127324749642	0.3347229693383539	0.5476190476190476	0.3019801980198019	-0.365680103525331
Tbcel	-0.3615384615384613	-0.3646071700991609	False	True	4	4	0.705128205128205	0.7125603864734299	0.2653721682847896	0.3553875236294896	0.3435897435897436	0.3479532163742689	-0.3630728158188111
Zfand4	-0.3736643026004728	-0.3473035050640411	True	True	4	4	0.6554609929078014	0.6589847868654918	0.5341782847486268	0.5364019646194635	0.2817966903073285	0.3116812818014506	-0.3604839038322569
Snap29	-0.3242068665797479	-0.3951219512195122	True	True	3	2	0.4011299435028249	0.3951219512195122	0.1141649048625792	0.0955497382198952	0.0769230769230769	0.0	-0.3596644088996301
Hook1	-0.3432828537775533	-0.375858751879316	True	True	3	3	0.8385714285714285	0.8727034120734908	0.5727176220806794	0.5702551555400209	0.4952885747938751	0.4968446601941748	-0.3595708028284347
Chpt1	-0.3410541752933058	-0.3778248587570621	True	True	4	4	0.8144841269841271	0.7111581920903954	0.7466666666666666	0.6635071090047393	0.4734299516908212	0.3333333333333333	-0.3594395170251839
Stk11	-0.3078442912392803	-0.4087335417258691	True	True	2	3	0.768370607028754	0.7616747181964574	0.624633431085044	0.5740971357409713	0.4605263157894737	0.3529411764705882	-0.3582889164825747
Ptpn9	-0.3792663476874003	-0.3281779348946825	True	True	2	2	0.4701754385964912	0.3926940639269406	0.2801932367149758	0.2938689217758985	0.0909090909090909	0.064516129032258	-0.3537221412910414
Rnf185	-0.3740510697032436	-0.3315015479876161	True	False	2	2	0.5169082125603864	0.5197368421052632	0.1458885941644562	0.1781206171107994	0.1428571428571428	0.188235294117647	-0.3527763088454299
Larp1	-0.3459849421874738	-0.3567094017094017	True	True	6	6	0.783199079401611	0.8011538461538461	0.5459165154264973	0.5152906692721057	0.4372141372141372	0.4444444444444444	-0.3513471719484378
Zmat5	-0.3665691082634604	-0.3338692810457516	True	True	2	2	0.9886621315192744	0.994	0.968181818181818	0.9669811320754716	0.622093023255814	0.6601307189542484	-0.350219194654606
Mageb3	-0.375886524822695	-0.322283929191253	True	True	2	2	0.375886524822695	0.3372093023255814	0.066079295154185	0.092814371257485	0.0	0.0149253731343283	-0.349085227006974
Cacnb1	-0.3639907319067739	-0.3334882177231995	True	True	3	3	0.7137931034482758	0.7304347826086957	0.611731843575419	0.5721868365180467	0.3498023715415019	0.3969465648854962	-0.3487394748149867
Rbbp6	-0.3101459339348697	-0.3852736367852647	True	True	6	7	0.3843422849340009	0.4246296296296296	0.1695818345323741	0.204034544985821	0.0741963509991311	0.0393559928443649	-0.3477097853600672
Pacsin2	-0.3712121212121212	-0.3214001986097318	True	False	3	3	0.4902597402597403	0.5289473684210526	0.1756965944272445	0.1878088962108731	0.119047619047619	0.2075471698113207	-0.3463061599109265
Dcaf1	-0.3722370766488414	-0.3186286190873346	True	True	4	5	0.807843137254902	0.7337662337662337	0.6886792452830188	0.6737588652482269	0.4356060606060605	0.4151376146788991	-0.345432847868088
Mtf1	-0.2951452610255293	-0.392799832123636	False	False	4	4	0.4270525694034259	0.5013269639065817	0.0674803591470258	0.0811881188118811	0.1319073083778966	0.1085271317829457	-0.3439725465745826
Mprip	-0.1991472868217054	-0.4744360902255639	True	True	3	3	0.5058139534883721	0.8428571428571429	0.4381818181818182	0.42875	0.3066666666666666	0.3684210526315789	-0.3367916885236347
Ift172	-0.3986491937435663	-0.2709301322847139	True	True	2	2	0.4431554524361949	0.2935064935064935	0.215962441314554	0.1468144044321329	0.0445062586926286	0.0225763612217795	-0.3347896630141401
Pias2	-0.2378444746815853	-0.4275466468187767	True	True	3	2	0.5566518141311266	0.6296743063932448	0.5431159420289855	0.6228119706380576	0.3188073394495412	0.202127659574468	-0.332695560750181
Erlin2	-0.2435761481360633	-0.4106904825379899	True	True	3	2	0.2870544090056285	0.4752066115702479	0.1603260869565217	0.1715817694369973	0.0434782608695652	0.064516129032258	-0.3271333153370266
Ascc2	-0.2787534435261707	-0.372143037242484	True	True	2	2	0.3829201101928374	0.4192634560906516	0.2093023255813953	0.2209005947323704	0.1041666666666666	0.0471204188481675	-0.3254482403843274
