panel	record	gsm	stage_label	stage_group	plot_position	metric	value
-	source	GSM3516670-StageIB	StageIB	Stage I–II		gex_cells	367.0
-	source	GSM3516670-StageIB	StageIB	Stage I–II		matched_cells	367.0
-	source	GSM3516670-StageIB	StageIB	Stage I–II		n_gex_clusters	9.0
-	source	GSM3516670-StageIB	StageIB	Stage I–II		AMI_gexleiden_vs_pas	0.6826
-	source	GSM3516670-StageIB	StageIB	Stage I–II		ARI_gexleiden_vs_pas	0.4564
-	source	GSM3516671-MetBrain	MetBrain	Metastasis		pas_cells	1277.0
-	source	GSM3516671-MetBrain	MetBrain	Metastasis		gex_cells	860.0
-	source	GSM3516671-MetBrain	MetBrain	Metastasis		matched_cells	860.0
-	source	GSM3516671-MetBrain	MetBrain	Metastasis		n_gex_clusters	14.0
-	source	GSM3516671-MetBrain	MetBrain	Metastasis		AMI_gexleiden_vs_pas	0.4238
-	source	GSM3516671-MetBrain	MetBrain	Metastasis		ARI_gexleiden_vs_pas	0.2738
-	source	GSM3516672-StageIB	StageIB	Stage I–II		pas_cells	4247.0
-	source	GSM3516672-StageIB	StageIB	Stage I–II		gex_cells	1606.0
-	source	GSM3516672-StageIB	StageIB	Stage I–II		matched_cells	1606.0
-	source	GSM3516672-StageIB	StageIB	Stage I–II		n_gex_clusters	22.0
-	source	GSM3516672-StageIB	StageIB	Stage I–II		AMI_gexleiden_vs_pas	0.8063
-	source	GSM3516672-StageIB	StageIB	Stage I–II		ARI_gexleiden_vs_pas	0.6712
-	source	GSM3516673-Normal	Normal	Normal		pas_cells	3979.0
-	source	GSM3516673-Normal	Normal	Normal		gex_cells	2206.0
-	source	GSM3516673-Normal	Normal	Normal		matched_cells	2206.0
-	source	GSM3516673-Normal	Normal	Normal		n_gex_clusters	19.0
-	source	GSM3516673-Normal	Normal	Normal		AMI_gexleiden_vs_pas	0.4798
-	source	GSM3516673-Normal	Normal	Normal		ARI_gexleiden_vs_pas	0.2122
-	source	GSM3516674-StageIA	StageIA	Stage I–II		pas_cells	4923.0
-	source	GSM3516674-StageIA	StageIA	Stage I–II		gex_cells	1954.0
-	source	GSM3516674-StageIA	StageIA	Stage I–II		matched_cells	1954.0
-	source	GSM3516674-StageIA	StageIA	Stage I–II		n_gex_clusters	20.0
-	source	GSM3516674-StageIA	StageIA	Stage I–II		AMI_gexleiden_vs_pas	0.7889
