mouse	seed	direction	frac_fixed_gene_set	frac_free_guard	n_genes_fixed	n_genes_free	cell_cliffs_resid_SPC_ES
mouse2	10	shortening	0.1925	0.1904384574749075	1200	3786	0.0232141873657543
mouse2	10	lengthening	0.2508333333333333	0.2274167987321711	1200	3786	0.0232141873657543
mouse2	11	shortening	0.225	0.2120010573618821	1200	3783	-0.0747645536156854
mouse2	11	lengthening	0.1908333333333333	0.2035421623050489	1200	3783	-0.0747645536156854
mouse2	12	shortening	0.2158333333333333	0.2125096129197641	1200	3901	-0.077793688384645
mouse2	12	lengthening	0.18	0.1884132273775955	1200	3901	-0.077793688384645
mouse2	13	shortening	0.2158333333333333	0.1960183767228177	1200	3918	-0.0229663490664757
mouse2	13	lengthening	0.2116666666666666	0.2067381316998468	1200	3918	-0.0229663490664757
mouse2	14	shortening	0.1883333333333333	0.1926803013993541	1200	3716	0.0220300710469791
mouse2	14	lengthening	0.2216666666666666	0.211248654467169	1200	3716	0.0220300710469791
mouse2	15	shortening	0.1966666666666666	0.2147143229846073	1200	3833	-0.068513520956105
mouse2	15	lengthening	0.2183333333333333	0.210018262457605	1200	3833	-0.068513520956105
mouse2	16	shortening	0.23	0.2125881431183076	1200	3829	-0.0417469846340254
mouse2	16	lengthening	0.2083333333333333	0.2078871768085662	1200	3829	-0.0417469846340254
mouse2	17	shortening	0.2116666666666666	0.2080226279249164	1200	3889	-0.0502285619871124
mouse2	17	lengthening	0.1866666666666666	0.195680123425045	1200	3889	-0.0502285619871124
mouse2	18	shortening	0.2	0.2149214659685863	1200	3820	0.0354408767968277
mouse2	18	lengthening	0.1966666666666666	0.2013089005235602	1200	3820	0.0354408767968277
mouse2	19	shortening	0.2183333333333333	0.2141218455263828	1200	3923	-0.0034146610122817
mouse2	19	lengthening	0.1858333333333333	0.1850624522049452	1200	3923	-0.0034146610122817
mouse2	20	shortening	0.2275	0.2115630596060373	1200	3909	0.0484936938921627
mouse2	20	lengthening	0.2091666666666666	0.2077257610642107	1200	3909	0.0484936938921627
