arm	bin_lo	bin_hi	count	density
C0_nb_pairwise_nomarker	0.1	0.15000000000000002	100774	0.9637722290257317
C0_nb_pairwise_nomarker	0.15000000000000002	0.2	101709	0.9727142878319619
C0_nb_pairwise_nomarker	0.2	0.25	102992	0.9849845139799764
C0_nb_pairwise_nomarker	0.25	0.30000000000000004	103223	0.9871937285085746
C0_nb_pairwise_nomarker	0.30000000000000004	0.35000000000000003	103737	0.9921094699271868
C0_nb_pairwise_nomarker	0.35000000000000003	0.4	103824	0.9929415117626328
C0_nb_pairwise_nomarker	0.4	0.45	104835	1.0026104117124712
C0_nb_pairwise_nomarker	0.45	0.5	104384	0.998297183347113
C0_nb_pairwise_nomarker	0.5	0.55	105067	1.0048291899403274
C0_nb_pairwise_nomarker	0.55	0.6000000000000001	105436	1.0083581949665295
C0_nb_pairwise_nomarker	0.6000000000000001	0.65	105541	1.0093623833886194
C0_nb_pairwise_nomarker	0.65	0.7000000000000001	105900	1.0127957514222417
C0_nb_pairwise_nomarker	0.7000000000000001	0.75	106523	1.018753936059976
C0_nb_pairwise_nomarker	0.75	0.8	105712	1.0109977759617375
C0_nb_pairwise_nomarker	0.8	0.8500000000000001	106316	1.0167742503135697
C0_nb_pairwise_nomarker	0.8500000000000001	0.9	106778	1.021192679370766
C0_nb_pairwise_nomarker	0.9	0.9500000000000001	105381	1.0078321915073394
C0_nb_pairwise_nomarker	0.9500000000000001	1.0	106561	1.01911735663178
