panel	dataset	version	arm	ranking	metric	value	note	source_file
d	gse104556	competitor:polyApipe	tool call set		R_det@100	0.249878	mouse1	results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse1.tsv
d	gse104556	competitor:polyApipe	tool call set		R_det@100	0.250762	mouse2	results/benchmark_tools/gse104556/polyapipe/score_polyapipe_mouse2.tsv
d	gse104556	competitor:scAPAtrap	tool call set		P@100	0.250247	mouse1	results/benchmark_tools/gse104556/scapatrap/mouse1/score_scapatrap_mouse1.tsv
d	gse104556	competitor:scAPAtrap	tool call set		P@100	0.238911	mouse2	results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv
d	gse104556	competitor:scAPAtrap	tool call set		R_det@100	0.245315	mouse1	results/benchmark_tools/gse104556/scapatrap/mouse1/score_scapatrap_mouse1.tsv
d	gse104556	competitor:scAPAtrap	tool call set		R_det@100	0.258576	mouse2	results/benchmark_tools/gse104556/scapatrap/mouse2/score_scapatrap_mouse2.tsv
d	gse104556	competitor:scUTRquant	tool call set		P@100	0.782464	mouse1	results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse1.tsv
d	gse104556	competitor:scUTRquant	tool call set		P@100	0.783708	mouse2	results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv
d	gse104556	competitor:scUTRquant	tool call set		R_det@100	0.258632	mouse1	results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse1.tsv
d	gse104556	competitor:scUTRquant	tool call set		R_det@100	0.258884	mouse2	results/benchmark_tools/gse104556/scutrquant/score_scutrquant_mouse2.tsv
d	mouse1	prime	full		P@100	0.448787		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__full/score_prime__mouse1__full.tsv
d	mouse1	prime	full		R_det@100	0.303372		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__full/score_prime__mouse1__full.tsv
d	mouse1	prime	full		null_P@100_mean3	0.014601		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__full/score_prime__mouse1__full.tsv
d	mouse1	prime	precision_default		P@100	0.745001		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__precision_default/score_prime__mouse1__precision_default.tsv
d	mouse1	prime	precision_default		R_det@100	0.204790		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__precision_default/score_prime__mouse1__precision_default.tsv
d	mouse1	prime	precision_default		null_P@100_mean3	0.013927		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__precision_default/score_prime__mouse1__precision_default.tsv
d	mouse1	shipped	full		P@100	0.369159		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__mouse1__full/score_shipped__mouse1__full.tsv
d	mouse1	shipped	full		R_det@100	0.197962		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__mouse1__full/score_shipped__mouse1__full.tsv
d	mouse1	shipped	full		null_P@100_mean3	0.013912		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__mouse1__full/score_shipped__mouse1__full.tsv
d	mouse1	v1	full		P@100	0.442531		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__full/score_v1__mouse1__full.tsv
d	mouse1	v1	full		R_det@100	0.300562		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__full/score_v1__mouse1__full.tsv
d	mouse1	v1	full		null_P@100_mean3	0.014420		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__full/score_v1__mouse1__full.tsv
d	mouse1	v1	precision_default		P@100	0.741372		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__precision_default/score_v1__mouse1__precision_default.tsv
d	mouse1	v1	precision_default		R_det@100	0.202106		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__precision_default/score_v1__mouse1__precision_default.tsv
d	mouse1	v1	precision_default		null_P@100_mean3	0.014133		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__precision_default/score_v1__mouse1__precision_default.tsv
d	mouse1	v2	full		P@100	0.448787		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__full/score_v2__mouse1__full.tsv
d	mouse1	v2	full		R_det@100	0.303372		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__full/score_v2__mouse1__full.tsv
d	mouse1	v2	full		null_P@100_mean3	0.014601		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__full/score_v2__mouse1__full.tsv
d	mouse1	v2	precision_default		P@100	0.745001		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__precision_default/score_v2__mouse1__precision_default.tsv
