method	perm	pair	pas_id	pvalue	qvalue
fisher	2	IVprimary_vs_Normal	246969	0.0036906642371338	0.0086115498866456
fisher	2	IVprimary_vs_Normal	136639	0.0766908540545885	0.1342089945955299
fisher	2	IVprimary_vs_Normal	136629	0.0766908540545885	0.1342089945955299
fisher	2	IVprimary_vs_Normal	107149	0.2683975331155968	0.3757565463618355
fisher	2	IVprimary_vs_Normal	107151	0.2683975331155968	0.3757565463618355
fisher	2	IVprimary_vs_Normal	10442	0.4010531711554528	0.4678953663480283
fisher	2	IVprimary_vs_Normal	10438	0.4010531711554528	0.4678953663480283
fisher	2	IVprimary_vs_Normal	169780	0.7188543008089863	0.7188543008089863
fisher	2	IVprimary_vs_Normal	169791	0.7188543008089863	0.7188543008089863
fisher	2	IVprimary_vs_StageI	42315	4.351972564463523e-06	3.0463807951244655e-05
fisher	2	IVprimary_vs_StageI	42313	4.351972564463523e-06	3.0463807951244655e-05
fisher	2	IVprimary_vs_StageI	10438	0.0315173632090112	0.0780231383247619
fisher	2	IVprimary_vs_StageI	10442	0.0315173632090112	0.0780231383247619
fisher	2	IVprimary_vs_StageI	8572	0.0334384878534693	0.0780231383247619
fisher	2	IVprimary_vs_StageI	8573	0.0334384878534693	0.0780231383247619
fisher	2	IVprimary_vs_StageI	107149	0.272464439329343	0.324345293883501
fisher	2	IVprimary_vs_StageI	107151	0.272464439329343	0.324345293883501
fisher	2	IVprimary_vs_StageI	246969	0.2598701551802639	0.324345293883501
fisher	2	IVprimary_vs_StageI	246961	0.2598701551802639	0.324345293883501
fisher	2	IVprimary_vs_StageI	136629	0.2780102519001437	0.324345293883501
fisher	2	IVprimary_vs_StageI	136639	0.2780102519001437	0.324345293883501
fisher	2	IVprimary_vs_StageI	169780	0.5590009786588774	0.5590009786588774
fisher	2	IVprimary_vs_StageI	169791	0.5590009786588774	0.5590009786588774
fisher	2	Met_vs_Normal	136639	1.6674439511764298e-07	8.737069847680734e-07
fisher	2	Met_vs_Normal	136629	1.6674439511764298e-07	8.737069847680734e-07
fisher	2	Met_vs_Normal	42315	2.496305670765924e-07	8.737069847680734e-07
fisher	2	Met_vs_Normal	42313	2.496305670765924e-07	8.737069847680734e-07
fisher	2	Met_vs_Normal	246961	0.0002303185518433	0.0005374099543012
fisher	2	Met_vs_Normal	246969	0.0002303185518433	0.0005374099543012
fisher	2	Met_vs_Normal	8573	0.0564264860463425	0.0987463505810995
fisher	2	Met_vs_Normal	8572	0.0564264860463425	0.0987463505810995
fisher	2	Met_vs_Normal	107149	0.3665464822324683	0.5131650751254556
fisher	2	Met_vs_Normal	107151	0.3665464822324683	0.5131650751254556
fisher	2	Met_vs_Normal	10442	0.9522501790925976	0.9522501790925976
fisher	2	Met_vs_Normal	10438	0.9522501790925976	0.9522501790925976
fisher	2	Met_vs_Normal	169780	0.8246235903584297	0.9522501790925976
fisher	2	Met_vs_Normal	169791	0.8246235903584297	0.9522501790925976
fisher	2	Met_vs_StageI	136629	1.1658037869430894e-11	8.160626508601626e-11
fisher	2	Met_vs_StageI	136639	1.1658037869430894e-11	8.160626508601626e-11
