symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Lpin1	-0.5416415727436978	-0.6100307891751742	True	True	3	3	0.6814720812182741	0.6955922865013774	0.5465277777777777	0.5588470776621297	0.1398305084745762	0.0855614973262032	-0.575836180959436
Nr6a1	-0.6201761201761201	-0.52683344470431	True	True	4	3	0.7255892255892256	0.6295731707317073	0.2485875706214689	0.2185011709601873	0.1054131054131054	0.1027397260273972	-0.5735047824402151
Larp1	-0.5527422098135489	-0.5940288860715439	True	True	2	2	0.6591251885369532	0.6546349466776046	0.5355191256830601	0.4629629629629629	0.1063829787234042	0.0606060606060606	-0.5733855479425465
Polk	-0.5307961022246737	-0.6142371880076798	True	True	2	2	0.5578231292517006	0.6306306306306306	0.0620842572062084	0.0338235294117647	0.027027027027027	0.0163934426229508	-0.5725166451161767
Coa5	-0.5082801941562767	-0.6307274247491639	True	True	2	2	0.5759493670886076	0.6394230769230769	0.2131147540983606	0.2508474576271186	0.0676691729323308	0.008695652173913	-0.5695038094527203
Pfkfb4	-0.7395713002182005	-0.3834999999999999	True	True	2	3	0.9659863945578232	0.946	0.7738095238095238	0.7106741573033708	0.2264150943396226	0.5625	-0.5615356501091002
Vhl	-0.5595266428665873	-0.562494200838986	True	True	2	2	0.5666666666666667	0.5678391959798995	0.0326747720364741	0.0326018808777429	0.0071400238000793	0.0053449951409135	-0.5610104218527867
Oxr1	-0.7453423120089787	-0.3765144454799627	True	True	2	3	0.8271604938271605	0.9080459770114944	0.2099737532808399	0.6219369894982497	0.0818181818181818	0.5315315315315315	-0.5609283787444708
Picalm	-0.5278708133971293	-0.5911581333837143	True	True	2	2	0.7210526315789474	0.6417910447761194	0.5354330708661418	0.4177777777777778	0.1931818181818181	0.050632911392405	-0.5595144733904218
Eipr1	-0.5101173020527858	-0.6078814338235294	True	True	2	2	0.6919354838709677	0.740234375	0.3721973094170404	0.4530516431924882	0.1818181818181818	0.1323529411764706	-0.5589993679381576
Ino80c	-0.5584250456807485	-0.5533698446406616	True	True	2	2	0.6652211621856028	0.6838046272493573	0.2109256449165402	0.1672240802675585	0.1067961165048543	0.1304347826086956	-0.555897445160705
Ankrd45	-0.5441028732167974	-0.561875	True	True	3	3	0.940928270042194	0.9525	0.6192982456140351	0.5865384615384616	0.3968253968253968	0.390625	-0.5529889366083987
Cfap58	-0.4230604982206405	-0.6688311688311689	False	False	2	2	0.9430604982206404	0.9545454545454546	0.95750452079566	0.9576719576719576	0.52	0.2857142857142857	-0.5459458335259046
Arel1	-0.5754095591960818	-0.5163252032520326	True	True	2	2	0.5806451612903226	0.5203252032520326	0.2159090909090909	0.2030848329048843	0.0052356020942408	0.004	-0.5458673812240572
Golph3	-0.5058170092475532	-0.5646795920936674	True	True	2	2	0.5445544554455446	0.5957446808510638	0.3239740820734341	0.3171641791044776	0.0387374461979913	0.0310650887573964	-0.5352483006706104
Akirin1	-0.5984629214371091	-0.4677386760587776	True	True	2	2	0.7345575959933222	0.7214700193423598	0.3752792256142963	0.4230581338544211	0.136094674556213	0.2537313432835821	-0.5331007987479434
Eif4b	-0.5208333333333333	-0.5434322033898304	True	True	2	2	0.6333333333333333	0.6875	0.1183800623052959	0.1471801925722145	0.1125	0.1440677966101695	-0.5321327683615819
Svip	-0.6149910031488979	-0.4489215941749845	True	True	2	2	0.7224471434997751	0.4885361552028218	0.4658085277554304	0.2367326974810467	0.1074561403508772	0.0396145610278372	-0.5319562986619413
